request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2015-03-27,2015-03-30,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,3,3
CLOSED,2015-05-25,2015-06-18,Carlton,Parks and Trees,Tree Maintenance Services,24,24
CLOSED,2016-06-14,2016-06-23,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,9,9
CLOSED,2014-11-12,2014-11-14,Melbourne,Graffiti,Graffiti Removal,2,2
CLOSED,2016-01-19,2016-02-17,East Melbourne,Parks and Trees,Tree Maintenance Services,29,29
CLOSED,2015-03-19,2015-03-20,East Melbourne,Parks and Trees,Lawns and Irrigation,1,1
CLOSED,2016-03-09,2016-03-23,Southbank,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2015-08-25,2015-08-27,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2016-06-14,2016-06-17,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,3,3
CLOSED,2016-04-11,2016-04-13,Melbourne,Graffiti,Graffiti Removal,2,2
CLOSED,2016-02-29,2016-03-30,North Melbourne,Roads and Traffic,Road and Footpath Maintenance,30,30
CLOSED,2016-04-27,2016-05-07,Kensington,"Waste, Street Cleaning and Litter",Waste collection services,10,10
CLOSED,2014-12-15,2014-12-17,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2016-06-15,2016-06-22,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2016-05-30,2016-05-31,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2016-03-10,2016-03-11,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-07-24,2015-07-28,East Melbourne,Parks and Trees,Condition of Assets in Parks,4,4
CLOSED,2015-02-03,2015-02-17,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,14,14
CLOSED,2015-07-09,2015-07-10,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-09-17,2015-09-17,Carlton,"Waste, Street Cleaning and Litter",Waste collection services,0,0
CLOSED,2016-04-27,2016-05-03,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,6,6
CLOSED,2015-11-02,2015-11-10,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,8,8
CLOSED,2015-07-15,2015-07-16,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-11-19,2015-11-23,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-11-09,2015-12-03,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,24,24
CLOSED,2015-08-03,2015-08-20,Melbourne,Graffiti,Graffiti Removal,17,17
CLOSED,2015-08-07,2015-08-21,Parkville,Graffiti,Graffiti Removal,14,14
CLOSED,2016-03-15,2016-03-18,Melbourne,Parks and Trees,Condition of Assets in Parks,3,3
CLOSED,2015-07-23,2015-07-28,Melbourne,Asset maintenance,Street Maintenance,5,5
CLOSED,2015-11-24,2015-12-11,Carlton North,Graffiti,Graffiti Removal,17,17
CLOSED,2014-11-18,2014-11-20,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2016-01-09,2016-01-14,Kensington,Parks and Trees,Tree Maintenance Services,5,5
CLOSED,2015-03-10,2015-03-23,Carlton,Graffiti,Graffiti Removal,13,13
CLOSED,2015-04-21,2015-04-23,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2016-05-13,2016-05-20,Carlton North,Parks and Trees,Tree Maintenance Services,7,7
CLOSED,2015-05-02,2015-06-04,North Melbourne,Parks and Trees,Park Cleaning,33,33
CLOSED,2015-01-23,2015-02-04,North Melbourne,Parks and Trees,Tree Maintenance Services,12,12
CLOSED,2014-12-04,2014-12-16,Kensington,Parks and Trees,Tree Maintenance Services,12,12
CLOSED,2016-01-06,2016-01-20,Melbourne,Parks and Trees,Lawns and Irrigation,14,14
CLOSED,2015-02-24,2015-02-26,Melbourne,Graffiti,Graffiti Removal,2,2
CLOSED,2016-06-14,2016-06-15,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-04-24,2015-04-29,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,5,5
CLOSED,2016-02-06,2016-02-12,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,6,6
CLOSED,2016-02-18,2016-03-02,Southbank,Parks and Trees,Tree Maintenance Services,13,13
CLOSED,2015-02-19,2015-03-25,Melbourne,Parks and Trees,Lawns and Irrigation,34,34
CLOSED,2016-02-24,2016-02-25,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-06-30,2015-07-03,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,3,3
CLOSED,2015-11-26,2015-12-03,West Melbourne,Parks and Trees,Lawns and Irrigation,7,7
CLOSED,2016-02-16,2016-02-17,Melbourne,Roads and Traffic,Road and Footpath Maintenance,1,1
CLOSED,2015-10-09,2015-10-20,Melbourne,Graffiti,Graffiti Removal,11,11
CLOSED,2016-03-04,2016-05-05,North Melbourne,Graffiti,Graffiti Removal,62,62
CLOSED,2015-05-22,2015-05-27,Parkville,"Waste, Street Cleaning and Litter",Waste collection services,5,5
CLOSED,2016-03-03,2016-03-04,Melbourne,Parks and Trees,Lawns and Irrigation,1,1
CLOSED,2016-01-16,2016-01-18,Melbourne,Parks and Trees,Condition of Assets in Parks,2,2
CLOSED,2014-12-11,2014-12-12,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-02-09,2015-02-10,Melbourne,Parks and Trees,Park Cleaning,1,1
CLOSED,2015-08-18,2015-09-03,Carlton North,Parks and Trees,Park Cleaning,16,16
CLOSED,2015-07-14,2015-07-16,North Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2015-07-03,2015-07-23,North Melbourne,Graffiti,Graffiti Removal,20,20
CLOSED,2015-10-09,2015-10-26,Melbourne,Graffiti,Graffiti Removal,17,17
CLOSED,2015-12-01,2015-12-08,East Melbourne,Parks and Trees,Tree Maintenance Services,7,7
CLOSED,2015-03-16,2015-03-17,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-06-23,2015-06-24,Melbourne,Parks and Trees,Sport and Playground Facilities,1,1
CLOSED,2015-07-09,2015-09-10,Melbourne,Parks and Trees,Park Cleaning,63,63
CLOSED,2015-03-18,2015-03-25,Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2015-03-18,2015-03-24,Kensington,"Waste, Street Cleaning and Litter",Street Cleaning services,6,6
CLOSED,2016-03-15,2016-03-31,South Yarra,Parks and Trees,Tree Maintenance Services,16,16
CLOSED,2014-11-10,2014-11-12,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2015-10-28,2015-10-30,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2015-02-16,2015-04-27,North Melbourne,Parks and Trees,Park Cleaning,70,70
CLOSED,2015-03-31,2015-04-01,South Yarra,"Waste, Street Cleaning and Litter",Damaged Bins,1,1
CLOSED,2016-03-17,2016-03-30,Melbourne,Parking,Parking Meter Service,13,13
CLOSED,2014-12-16,2015-01-16,North Melbourne,Roads and Traffic,Road and Footpath Maintenance,31,31
CLOSED,2015-02-07,2015-02-12,Carlton,"Waste, Street Cleaning and Litter",Dumped Rubbish,5,5
CLOSED,2016-04-26,2016-05-19,North Melbourne,Graffiti,Graffiti Removal,23,23
CLOSED,2015-08-24,2015-08-25,Parkville,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-08-24,2015-09-02,Melbourne,Graffiti,Graffiti Removal,9,9
CLOSED,2015-10-23,2015-10-26,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2016-04-19,2016-05-04,East Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,15,15
CLOSED,2015-02-09,2015-02-17,Carlton,Parks and Trees,Condition of Assets in Parks,8,8
CLOSED,2015-07-16,2015-07-29,East Melbourne,Graffiti,Graffiti Removal,13,13
CLOSED,2015-07-30,2015-08-03,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2016-06-16,2016-06-17,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-11-29,2015-12-01,Carlton,Parks and Trees,Sport and Playground Facilities,2,2
CLOSED,2015-07-22,2015-08-04,Carlton North,Graffiti,Graffiti Removal,13,13
CLOSED,2015-10-20,2015-11-02,Kensington,"Waste, Street Cleaning and Litter",Waste collection services,13,13
CLOSED,2014-12-31,2015-01-21,Parkville,Parks and Trees,Park Cleaning,21,21
CLOSED,2016-05-06,2016-05-09,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,3,3
CLOSED,2016-03-15,2016-03-22,Kensington,"Waste, Street Cleaning and Litter",Waterways,7,7
CLOSED,2015-07-27,2015-08-03,Carlton,Graffiti,Graffiti Removal,7,7
