request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete
CLOSED,2015-04-20,2015-04-21,Carlton,Parks and Trees,Condition of Assets in Parks,1
CLOSED,2016-01-15,2016-01-27,West Melbourne,Roads and Traffic,Road and Footpath Maintenance,12
CLOSED,2015-11-30,2015-12-24,Kensington,Parks and Trees,Tree Maintenance Services,24
CLOSED,2015-12-08,2015-12-10,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2
CLOSED,2015-08-25,2015-08-27,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
CLOSED,2016-02-05,2016-02-09,Carlton North,Parks and Trees,Park Cleaning,4
CLOSED,2016-05-20,2016-05-30,Kensington,Parks and Trees,Tree Maintenance Services,10
CLOSED,2015-04-07,2015-04-09,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
CLOSED,2015-07-27,2015-07-28,Melbourne,Graffiti,Graffiti Removal,1
CLOSED,2015-01-13,2015-01-19,Melbourne,Parks and Trees,Condition of Assets in Parks,6
CLOSED,2014-11-18,2014-11-18,East Melbourne,"Waste, Street Cleaning and Litter",Syringe pick-up services,1
CLOSED,2014-11-28,2014-12-04,West Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,6
CLOSED,2015-04-09,2015-06-16,West Melbourne,Parks and Trees,Park Cleaning,68
CLOSED,2015-08-17,2015-08-19,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
CLOSED,2015-03-10,2015-03-11,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,1
CLOSED,2015-06-05,2015-06-10,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,5
CLOSED,2015-03-10,2015-03-11,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2015-01-05,2015-01-06,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-01-19,2015-01-21,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
CLOSED,2015-07-17,2015-07-22,Melbourne,"Waste, Street Cleaning and Litter",Syringe pick-up services,5
CLOSED,2016-01-07,2016-01-13,West Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,6
